ref,name
pates_carbos,Pates carbonara
omelette_champignons,Omelette aux champignons
quiche_saumon_epinards,Quiche saumon/épinards
nuggets_frites,Nuggets/Frites
fish_and_chips,Fish&Chips
risotto_poireau,Risotto au poireau
bruchettas,Bruchettas
fajitas,Fajitas
curry_chou_fleur,Curry de chou-fleur
crepes_sarasin,Crèpes au sarasin
crepes,Crèpes
cookies,Cookies
pop_corn,Pop-corn
lasagnes,Lasagnes
lasagnes_vege,Lasagnes végé
gratin,Gratin
pastis,Pastis
mojito,Mojito
