meal_ref,index,description
cookies,0,Préchauffer le four à 175°C.
cookies,0,"Dans un saladier, verser les deux sucres, ajouter ensuite le beurre pommade. Bien mélanger à la spatule, le mélange doit un peu épaissir et blanchir."
