"COMMUNE_NOM","COLL_INSEE","TYPE_EVENEMENT","ANNEE","DATE_EVENEMENT","NOMBRE_EVENEMENT"
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121025,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121026,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121103,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121107,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121108,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121112,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121113,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121115,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121119,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121128,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121129,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121130,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121201,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121211,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121213,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121216,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2012,20121220,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130102,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130107,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130109,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130114,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130117,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130119,3
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130123,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130202,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130203,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130204,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130205,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130206,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130208,3
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130216,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130221,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130228,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130304,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130305,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130307,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130310,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130313,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130317,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130322,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130328,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130401,1
